lightweight	A1	05/01/2013	00:00:08	gamersite.example.com	0	72	USA	SIDE
accelerometer	A1	05/01/2013	00:00:10	datawire.example.com	0	78	USA	INLINE
pc	A1	05/01/2013	00:00:16	datasnap.example.com	0	49	USA	BOTTOM
dualcore	D7	05/01/2013	00:00:22	datawire.example.com	0	58	USA	SIDE
 apps	A1	05/01/2013	00:00:23	albumreview.example.com	0	72	NETHERLANDS	INLINE
review	A1	05/01/2013	00:00:37	amateurcoder.example.com	0	66	USA	SIDE
browser	A1	05/01/2013	00:00:39	datascientist.example.com	0	79	USA	INLINE
touchscreen	B2	05/01/2013	00:00:47	burritofinder.example.com	0	84	USA	SIDE
social	A2	05/01/2013	00:01:06	photosite.example.com	0	82	USA	TOP
accelerometer	C5	05/01/2013	00:01:16	linuxlife.example.com	0	92	USA	TOP
 social	A1	05/01/2013	00:01:23	datasnap.example.com	0	73	USA	INLINE
GAMES	C5	05/01/2013	00:01:59	cellnews.example.com	0	74	USA	INLINE
student	D9	05/01/2013	00:02:05	megatips.example.com	0	60	USA	BOTTOM
TABLET	D5	05/01/2013	00:02:05	dealfinder.example.com	0	100	USA	TOP
tablet	D7	05/01/2013	00:02:20	megasource.example.com	1	100	USA	TOP
lightweight	C6	05/01/2013	00:02:29	amateurcoder.example.com	0	80	USA	SIDE
portable	D4	05/01/2013	00:02:34	diskcentral.example.com	1	68	USA	BOTTOM
PDA	C8	05/01/2013	00:02:43	bitpress.example.com	0	48	USA	BOTTOM
apps	B4	05/01/2013	00:02:45	bytewiz.example.com	0	54	USA	SIDE
dualcore	C4	05/01/2013	00:02:54	filmport.example.com	0	58	USA	SIDE
pictures	A2	05/01/2013	00:02:58	salestiger.example.com	0	72	USA	SIDE
present	B7	05/01/2013	00:03:00	burritofinder.example.com	0	100	USA	TOP
pictures	B8	05/01/2013	00:03:01	dvdreview.example.com	0	66	USA	SIDE
bluetooth	B8	05/01/2013	00:03:05	audiophile.example.com	0	82	USA	TOP
lightweight	B9	05/01/2013	00:03:06	audioexpert.example.com	0	88	USA	TOP
present	C6	05/01/2013	00:03:23	architectworld.example.com	0	93	USA	INLINE
feature	C3	05/01/2013	00:03:36	audioexpert.example.com	0	66	USA	BOTTOM
E-BOOK	D3	05/01/2013	00:03:39	necktieworld.example.com	0	65	USA	BOTTOM
e-reader	D8	05/01/2013	00:03:40	1337hax4u.example.com	0	82	USA	TOP
pictures	C2	05/01/2013	00:03:45	procoder.example.com	0	74	USA	INLINE
bargain	D2	05/01/2013	00:03:46	homevideo.example.com	0	64	USA	SIDE
GPS	B5	05/01/2013	00:03:46	cellcore.example.com	0	54	USA	SIDE
bluetooth	B1	05/01/2013	00:03:51	gigaspan.example.com	0	62	USA	BOTTOM
touchscreen	C3	05/01/2013	00:03:56	salestiger.example.com	0	90	USA	TOP
device	B8	05/01/2013	00:04:03	megatips.example.com	0	60	USA	SIDE
laptop	A7	05/01/2013	00:04:08	audioexpert.example.com	0	78	USA	TOP
shopping	D7	05/01/2013	00:04:08	datawire.example.com	0	68	USA	SIDE
browsing	B6	05/01/2013	00:04:10	audiophile.example.com	0	64	USA	BOTTOM
student	D7	05/01/2013	00:04:18	datasnap.example.com	0	70	USA	TOP
screen	A8	05/01/2013	00:04:20	codemonkeys.example.com	0	73	USA	INLINE
productivity	C6	05/01/2013	00:04:35	linuxlife.example.com	0	69	USA	BOTTOM
screen	A3	05/01/2013	00:04:40	salestiger.example.com	1	74	USA	INLINE
chat	B2	05/01/2013	00:04:50	digicams.example.com	0	63	USA	INLINE
touchscreen	D5	05/01/2013	00:04:58	bitpress.example.com	0	80	USA	INLINE
e-reader	C3	05/01/2013	00:05:12	linuxlife.example.com	0	66	USA	SIDE
surfing	C3	05/01/2013	00:05:14	datascientist.example.com	0	76	USA	TOP
holiday	C2	05/01/2013	00:05:17	movienet.example.com	0	64	USA	SIDE
screen	A2	05/01/2013	00:05:18	cellnews.example.com	0	64	USA	INLINE
light	A7	05/01/2013	00:05:19	datasnap.example.com	0	62	USA	SIDE
portability	D8	05/01/2013	00:05:32	pcexpert.example.com	0	80	BELGIUM	INLINE
